NO,date,hour,company,count
140,2025.01.01,12,SaudiAramco,"332,906"
141,2025.01.01,13,intel,"24,983"
142,2025.01.01,13,tesla,121
143,2025.01.01,13,samsung,"3,563"
144,2025.01.01,13,apple,0
145,2025.01.01,13,Microsoft,"31,911"
146,2025.01.01,13,Amazon,"44,891"
147,2025.01.01,13,TSMintel,"31,225"
148,2025.01.01,13,Google,"14,256"
149,2025.01.01,13,Broadcom,"16,892"
150,2025.01.01,13,Meta,"483,443"
151,2025.01.01,13,SaudiAramco,"138,191"
152,2025.01.01,14,intel,"12,930"
153,2025.01.01,14,tesla,471
154,2025.01.01,14,samsung,"5,390"
155,2025.01.01,14,apple,0
156,2025.01.01,14,Microsoft,"16,161"
157,2025.01.01,14,Amazon,"42,026"
158,2025.01.01,14,TSMintel,"1,554"
159,2025.01.01,14,Google,"12,500"
160,2025.01.01,14,Broadcom,"40,488"
161,2025.01.01,14,Meta,"627,483"
162,2025.01.01,14,SaudiAramco,"97,362"
163,2025.01.01,15,intel,"22,800"
164,2025.01.01,15,tesla,156
165,2025.01.01,15,samsung,"9,852"
166,2025.01.01,15,apple,0
167,2025.01.01,15,Microsoft,"20,516"
168,2025.01.01,15,Amazon,"74,465"
169,2025.01.01,15,TSMintel,"3,381"
170,2025.01.01,15,Google,"11,416"
171,2025.01.01,15,Broadcom,"3,344"
172,2025.01.01,15,Meta,"684,957"
173,2025.01.01,15,SaudiAramco,"113,087"
174,2025.01.01,16,intel,"36,710"
175,2025.01.01,16,tesla,186
176,2025.01.01,16,samsung,"12,087"
177,2025.01.01,16,Microsoft,"17,516"
178,2025.01.01,16,Amazon,"109,758"
179,2025.01.01,16,TSMintel,"3,342"
180,2025.01.01,16,Google,"13,665"
181,2025.01.01,16,Broadcom,"6,369"
182,2025.01.01,16,Meta,"502,979"
183,2025.01.01,16,SaudiAramco,"108,723"
184,2025.01.01,17,intel,"12,508"
185,2025.01.01,17,tesla,180
186,2025.01.01,17,samsung,"1,857"
187,2025.01.01,17,apple,0
188,2025.01.01,17,Microsoft,"10,046"
189,2025.01.01,17,Amazon,"84,491"
190,2025.01.01,17,TSMintel,"1,194"
191,2025.01.01,17,Google,"11,066"
192,2025.01.01,17,Broadcom,"1,606"
193,2025.01.01,17,Meta,"311,738"
194,2025.01.01,17,SaudiAramco,"70,559"
195,2025.01.01,18,intel,"7,432"
196,2025.01.01,18,tesla,334
