NO,date,hour,company,input
141,2025.06.01,14,TSMC,"14,003"
142,2025.06.01,14,Google,"16,462"
143,2025.06.01,14,Broadcom,"47,164"
144,2025.06.01,14,Meta,"1,074,693"
145,2025.06.01,14,SaudiAramco,"146,864"
146,2025.06.01,15,tesla,101
147,2025.06.01,15,samsung,"1,551"
148,2025.06.01,15,apple,0
149,2025.06.01,15,Microsoft,"7,756"
150,2025.06.01,15,Amazon,"9,374"
151,2025.06.01,15,TSMC,"1,647"
152,2025.06.01,15,Google,"16,661"
153,2025.06.01,15,Broadcom,"80,009"
154,2025.06.01,15,Meta,"651,512"
155,2025.06.01,15,SaudiAramco,"421,633"
156,2025.06.01,16,tesla,101
157,2025.06.01,16,samsung,"1,501"
158,2025.06.01,16,apple,0
159,2025.06.01,16,Microsoft,"6,243"
160,2025.06.01,16,Amazon,"14,103"
161,2025.06.01,16,TSMC,"3,540"
162,2025.06.01,16,Google,"18,619"
163,2025.06.01,16,Broadcom,"49,962"
164,2025.06.01,16,Meta,"562,996"
165,2025.06.01,16,SaudiAramco,"295,231"
166,2025.06.01,17,tesla,133
167,2025.06.01,17,samsung,"4,322"
168,2025.06.01,17,apple,0
169,2025.06.01,17,Microsoft,"8,384"
170,2025.06.01,17,Amazon,"2,822"
171,2025.06.01,17,TSMC,"1,194"
172,2025.06.01,17,Google,"7,112"
173,2025.06.01,17,Broadcom,760
174,2025.06.01,17,Meta,"421,042"
175,2025.06.01,17,SaudiAramco,"77,100"
176,2025.06.01,18,tesla,151
177,2025.06.01,18,samsung,"1,284"
178,2025.06.01,18,apple,0
179,2025.06.01,18,Microsoft,"7,100"
180,2025.06.01,18,Amazon,953
181,2025.06.01,18,TSMC,"1,498"
182,2025.06.01,18,Google,"5,524"
183,2025.06.01,18,Broadcom,3
184,2025.06.01,18,Meta,"287,867"
185,2025.06.01,18,SaudiAramco,"61,433"
186,2025.06.01,19,tesla,257
187,2025.06.01,19,samsung,"1,579"
188,2025.06.01,19,apple,0
189,2025.06.01,19,Microsoft,"3,582"
190,2025.06.01,19,Amazon,"2,040"
191,2025.06.01,19,TSMC,623
192,2025.06.01,19,Google,"4,807"
193,2025.06.01,19,Broadcom,363
194,2025.06.01,19,Meta,"271,727"
195,2025.06.01,19,SaudiAramco,"85,133"
196,2025.06.01,20,tesla,171
197,2025.06.01,20,samsung,"2,075"
198,2025.06.01,20,apple,0
199,2025.06.01,20,Microsoft,"5,503"
200,2025.06.01,20,Amazon,678
201,2025.06.01,20,TSMC,662
202,2025.06.01,20,Google,"6,081"
203,2025.06.01,20,Broadcom,3
204,2025.06.01,20,Meta,"247,965"
205,2025.06.01,20,SaudiAramco,"69,867"
206,2025.06.01,21,tesla,346
207,2025.06.01,21,samsung,"1,147"
208,2025.06.01,21,apple,0
209,2025.06.01,21,Microsoft,"1,436"
210,2025.06.01,21,Amazon,283
211,2025.06.01,21,TSMC,806
212,2025.06.01,21,Google,"5,001"
213,2025.06.01,21,Broadcom,0
214,2025.06.01,21,Meta,"121,604"
215,2025.06.01,21,SaudiAramco,"19,582"
216,2025.06.01,22,tesla,69
217,2025.06.01,22,samsung,701
218,2025.06.01,22,Microsoft,"1,052"
219,2025.06.01,22,Amazon,50
220,2025.06.01,22,TSMC,552
221,2025.06.01,22,Google,"4,104"
222,2025.06.01,22,Broadcom,0
223,2025.06.01,22,Meta,"85,560"
224,2025.06.01,22,SaudiAramco,"15,607"
225,2025.06.01,23,tesla,25
226,2025.06.01,23,samsung,557
227,2025.06.01,23,Microsoft,709
228,2025.06.01,23,Amazon,20
229,2025.06.01,23,TSMC,449
230,2025.06.01,23,Google,"2,896"
231,2025.06.01,23,Broadcom,0
232,2025.06.01,23,Meta,"66,558"
233,2025.06.01,23,SaudiAramco,"11,479"
234,2025.06.02,00,tesla,39
235,2025.06.02,00,samsung,543
236,2025.06.02,00,Microsoft,499
237,2025.06.02,00,Amazon,1
238,2025.06.02,00,TSMC,"1,114"
239,2025.06.02,00,Google,"2,426"
240,2025.06.02,00,Broadcom,0
241,2025.06.02,00,Meta,"50,717"
242,2025.06.02,00,SaudiAramco,"9,580"
243,2025.06.02,01,tesla,23
244,2025.06.02,01,samsung,309
245,2025.06.02,01,Microsoft,315
246,2025.06.02,01,Amazon,1
247,2025.06.02,01,TSMC,348
248,2025.06.02,01,Google,"1,634"
249,2025.06.02,01,Broadcom,0
250,2025.06.02,01,Meta,"23,592"
251,2025.06.02,01,SaudiAramco,"6,830"
252,2025.06.02,02,tesla,25
253,2025.06.02,02,samsung,293
254,2025.06.02,02,Microsoft,315
255,2025.06.02,02,Amazon,15
256,2025.06.02,02,TSMC,187
257,2025.06.02,02,Google,"1,351"
258,2025.06.02,02,Broadcom,0
259,2025.06.02,02,Meta,"46,989"
260,2025.06.02,02,SaudiAramco,"5,360"
261,2025.06.02,03,tesla,23
262,2025.06.02,03,samsung,198
263,2025.06.02,03,Microsoft,348
264,2025.06.02,03,Amazon,104
265,2025.06.02,03,TSMC,130
266,2025.06.02,03,Google,749
267,2025.06.02,03,Broadcom,0
268,2025.06.02,03,Meta,"21,630"
269,2025.06.02,03,SaudiAramco,"4,129"
270,2025.06.02,04,tesla,40
271,2025.06.02,04,samsung,386
272,2025.06.02,04,Microsoft,662
273,2025.06.02,04,Amazon,29
274,2025.06.02,04,TSMC,126
275,2025.06.02,04,Google,661
276,2025.06.02,04,Broadcom,0
277,2025.06.02,04,Meta,"16,096"
278,2025.06.02,04,SaudiAramco,"4,469"
279,2025.06.02,05,tesla,26
280,2025.06.02,05,samsung,198
281,2025.06.02,05,Microsoft,405
282,2025.06.02,05,Amazon,18
283,2025.06.02,05,TSMC,152
284,2025.06.02,05,Google,"1,106"
285,2025.06.02,05,Broadcom,0
286,2025.06.02,05,Meta,"19,688"
287,2025.06.02,05,SaudiAramco,"4,613"
288,2025.06.02,06,tesla,426
289,2025.06.02,06,samsung,391
290,2025.06.02,06,Microsoft,"1,202"
291,2025.06.02,06,Amazon,340
292,2025.06.02,06,TSMC,683
293,2025.06.02,06,Google,"4,578"
294,2025.06.02,06,Broadcom,0
295,2025.06.02,06,Meta,"41,596"
296,2025.06.02,06,SaudiAramco,"7,974"
297,2025.06.02,07,tesla,151
298,2025.06.02,07,samsung,"1,262"
299,2025.06.02,07,apple,0
300,2025.06.02,07,Microsoft,"3,852"
301,2025.06.02,07,Amazon,266
302,2025.06.02,07,TSMC,690
303,2025.06.02,07,Google,"7,150"
304,2025.06.02,07,Broadcom,0
305,2025.06.02,07,Meta,"178,563"
306,2025.06.02,07,SaudiAramco,"38,138"
307,2025.06.02,08,tesla,112
308,2025.06.02,08,samsung,"6,129"
309,2025.06.02,08,apple,28
310,2025.06.02,08,Microsoft,"28,986"
311,2025.06.02,08,Amazon,"4,826"
312,2025.06.02,08,TSMC,"9,111"
313,2025.06.02,08,Google,"32,826"
314,2025.06.02,08,Broadcom,4
315,2025.06.02,08,Meta,"680,159"
316,2025.06.02,08,SaudiAramco,"148,542"
317,2025.06.02,09,tesla,374
318,2025.06.02,09,samsung,"41,839"
319,2025.06.02,09,apple,0
320,2025.06.02,09,Microsoft,"59,954"
321,2025.06.02,09,Amazon,"55,442"
322,2025.06.02,09,TSMC,"105,150"
323,2025.06.02,09,Google,"69,787"
